1;arms_factory;2777.00;10.00;1074.00;6.18;0
1;arms_factory;2774.00;9.80;1040.00;4.02;0
1;arms_factory;2773.00;10.18;1083.00;0.41;0
1;arms_factory;2787.00;9.93;1081.00;3.07;0
1;arms_factory;2795.00;9.95;1054.00;6.09;0
1;arms_factory;2778.00;9.90;1037.00;2.47;0
1;industrial_complex;2774.00;10.10;1078.00;5.13;0
1;industrial_complex;2776.00;9.98;1067.00;1.52;0
1;industrial_complex;2784.00;9.90;1042.00;4.54;0
1;industrial_complex;2791.00;9.93;1045.00;5.74;0
1;industrial_complex;2774.00;10.10;1074.00;3.58;0
1;industrial_complex;2770.00;9.80;1040.00;5.14;0
1;air_base;2788.00;9.90;1058.00;1.52;0
1;naval_base;2756.00;9.60;1086.00;-2.76;6561
1;naval_base;2769.00;10.23;1086.00;-3.14;6561
1;naval_base;2785.00;9.73;1088.00;-2.94;6561
1;bunker;2771.00;10.10;1078.00;6.25;0
1;bunker;2779.00;9.90;1064.00;4.09;0
1;bunker;2769.00;10.00;1068.00;0.47;0
1;bunker;2794.00;9.88;1053.00;2.04;0
1;bunker;2791.00;9.90;1041.00;4.70;0
1;bunker;2769.00;9.80;1047.00;2.54;0
1;bunker;2775.00;9.85;1040.00;3.74;0
1;bunker;2785.00;9.93;1070.00;0.48;0
1;bunker;2778.00;9.90;1045.00;3.14;0
1;bunker;2785.00;9.88;1072.00;5.81;0
1;bunker;2774.00;9.95;1035.00;2.54;0
1;bunker;2762.00;10.40;1082.00;5.21;0
1;bunker;2784.00;10.05;1025.00;1.59;0
1;coastal_bunker;2784.00;9.95;1087.00;-2.94;0
1;coastal_bunker;2760.00;10.40;1085.00;-2.76;0
1;coastal_bunker;2766.00;10.35;1086.00;-3.14;0
1;dockyard;2781.00;9.93;1086.00;-2.94;0
1;anti_air_building;2782.00;9.80;1048.00;2.70;0
1;anti_air_building;2770.00;10.20;1080.00;5.72;0
1;anti_air_building;2776.00;9.82;1057.00;0.64;0
1;synthetic_refinery;2786.00;9.90;1051.00;4.76;0
1;fuel_silo;2785.00;10.00;1030.00;2.61;0
1;radar_station;2777.00;9.80;1056.00;5.28;0
1;rocket_site;2774.00;9.90;1063.00;0.55;0
1;nuclear_reactor;2784.00;9.95;1036.00;3.21;0
2;arms_factory;2806.00;9.90;1083.00;0.41;0
2;arms_factory;2804.00;10.55;1102.00;3.07;0
2;arms_factory;2802.00;10.95;1116.00;6.09;0
2;arms_factory;2803.00;9.88;1081.00;2.47;0
2;arms_factory;2809.00;10.38;1096.00;5.13;0
2;arms_factory;2801.00;10.32;1104.00;1.52;0
2;industrial_complex;2793.00;9.90;1079.00;4.54;0
2;industrial_complex;2793.00;9.98;1090.00;5.74;0
2;industrial_complex;2800.00;9.90;1099.00;3.58;0
2;industrial_complex;2803.00;9.90;1075.00;5.14;0
2;industrial_complex;2796.00;9.93;1088.00;1.52;0
2;industrial_complex;2796.00;9.85;1095.00;4.19;0
